timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
202211700,0.9979133,0.010809469,-0.012726493,-0.06237348,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202216696,0.9979133,0.010811123,-0.012726632,-0.062371776,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202221708,0.9979133,0.010812099,-0.012725362,-0.062371954,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202256721,0.9979127,0.010847326,-0.012714305,-0.06237713,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202261724,0.99791276,0.010845607,-0.012716501,-0.062377866,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202266725,0.99791265,0.010846933,-0.012715162,-0.062379528,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202271753,0.99791247,0.010840363,-0.012714102,-0.06238197,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202276731,0.9979125,0.010841796,-0.01271422,-0.062380992,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202281734,0.99791235,0.01084686,-0.0127143795,-0.06238438,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202286738,0.9979123,0.010846901,-0.012714231,-0.062383607,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202291747,0.99791235,0.010840722,-0.012715054,-0.06238549,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202296762,0.9979122,0.010838999,-0.012716007,-0.062385853,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202301752,0.9979122,0.01083861,-0.01271779,-0.062385734,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202306754,0.99791235,0.01084159,-0.012718837,-0.06238473,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202346782,0.99791163,0.010847507,-0.01271523,-0.062394395,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202351788,0.9979116,0.010849125,-0.012715818,-0.062395364,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202356798,0.9979117,0.01084839,-0.01271728,-0.062393676,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202361784,0.9979115,0.010849232,-0.012716527,-0.062396217,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202366787,0.9979115,0.010850167,-0.012715562,-0.062396295,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202371804,0.99791175,0.010846783,-0.012717551,-0.062393054,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202376784,0.9979118,0.010847139,-0.0127140265,-0.0623927,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
