timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
564183592,1,1,0,1,0,0,0,0,0,0,0,0,0,0
564687724,1,1,0,1,0,0,0,0,0,0,0,0,0,0
565188767,1,1,0,1,0,0,0,0,0,0,0,0,0,0
565692591,1,1,0,1,0,0,0,0,0,0,0,0,0,0
566192615,1,1,0,1,0,0,0,0,0,0,0,0,0,0
566694469,1,1,0,1,0,0,0,0,0,0,0,0,0,0
567197962,1,1,0,1,0,0,0,0,0,0,0,0,0,0
567704524,1,1,0,1,0,0,0,0,0,0,0,0,0,0
568209478,1,1,0,1,0,0,0,0,0,0,0,0,0,0
568715958,1,1,0,1,0,0,0,0,0,0,0,0,0,0
569225679,1,1,0,1,0,0,0,0,0,0,0,0,0,0
569736469,1,1,0,1,0,0,0,0,0,0,0,0,0,0
570246907,1,1,0,1,0,0,0,0,0,0,0,0,0,0
570756637,1,1,0,1,0,0,0,0,0,0,0,0,0,0
571264865,1,1,0,1,0,0,0,0,0,0,0,0,0,0
571774924,1,1,0,1,0,0,0,0,0,0,0,0,0,0
572277473,1,1,0,1,0,0,0,0,0,0,0,0,0,0
572787724,1,1,0,1,0,0,0,0,0,0,0,0,0,0
573295674,1,1,0,1,0,0,0,0,0,0,0,0,0,0
573797464,1,1,0,1,0,0,0,0,0,0,0,0,0,0
574306216,1,1,0,1,0,0,0,0,0,0,0,0,0,0
574807606,1,1,0,1,0,0,0,0,0,0,0,0,0,0
575317466,1,1,0,1,0,0,0,0,0,0,0,0,0,0
575826392,1,1,0,1,0,0,0,0,0,0,0,0,0,0
576328598,1,1,0,1,0,0,0,0,0,0,0,0,0,0
576828648,1,1,0,1,0,0,0,0,0,0,0,0,0,0
577329545,1,1,0,1,0,0,0,0,0,0,0,0,0,0
577839644,1,1,0,1,0,0,0,0,0,0,0,0,0,0
578339871,1,1,0,1,0,0,0,0,0,0,0,0,0,0
578840552,1,1,0,1,0,0,0,0,0,0,0,0,0,0
579344145,1,1,0,1,0,0,0,0,0,0,0,0,0,0
579848950,1,1,0,1,0,0,0,0,0,0,0,0,0,0
580353591,1,1,0,1,0,0,0,0,0,0,0,0,0,0
580870122,1,1,0,1,0,0,0,0,0,0,0,0,0,0
581380072,1,1,0,1,0,0,0,0,0,0,0,0,0,0
581880323,1,1,0,1,0,0,0,0,0,0,0,0,0,0
582381699,1,1,0,1,0,0,0,0,0,0,0,0,0,0
582891630,1,1,0,1,0,0,0,0,0,0,0,0,0,0
583401640,1,1,0,1,0,0,0,0,0,0,0,0,0,0
583911219,1,1,0,1,0,0,0,0,0,0,0,0,0,0
584412644,1,1,0,1,0,0,0,0,0,0,0,0,0,0
584915089,1,1,0,1,0,0,0,0,0,0,0,0,0,0
585431897,1,1,0,1,0,0,0,0,0,0,0,0,0,0
585933515,1,1,0,1,0,0,0,0,0,0,0,0,0,0
586443681,1,1,0,1,0,0,0,0,0,0,0,0,0,0
586952497,1,1,0,1,0,0,0,0,0,0,0,0,0,0
587456428,1,1,0,1,0,0,0,0,0,0,0,0,0,0
587961601,1,1,0,1,0,0,0,0,0,0,0,0,0,0
588472721,1,1,0,1,0,0,0,0,0,0,0,0,0,0
588983234,1,1,0,1,0,0,0,0,0,0,0,0,0,0
589483650,1,1,0,1,0,0,0,0,0,0,0,0,0,0
589992588,1,1,0,1,0,0,0,0,0,0,0,0,0,0
590494820,1,1,0,1,0,0,0,0,0,0,0,0,0,0
590997484,1,1,0,1,0,0,0,0,0,0,0,0,0,0
591513184,1,1,0,1,0,0,0,0,0,0,0,0,0,0
592014768,1,1,0,1,0,0,0,0,0,0,0,0,0,0
592518569,1,1,0,1,0,0,0,0,0,0,0,0,0,0
593025573,1,1,0,1,0,0,0,0,0,0,0,0,0,0
593535608,1,1,0,1,0,0,0,0,0,0,0,0,0,0
594044048,1,1,0,1,0,0,0,0,0,0,0,0,0,0
594545523,1,1,0,1,0,0,0,0,0,0,0,0,0,0
595055920,1,1,0,1,0,0,0,0,0,0,0,0,0,0
595559322,1,1,0,1,0,0,0,0,0,0,0,0,0,0
596066567,1,1,0,1,0,0,0,0,0,0,0,0,0,0
596567665,1,1,0,1,0,0,0,0,0,0,0,0,0,0
597067899,1,1,0,1,0,0,0,0,0,0,0,0,0,0
597577513,1,1,0,1,0,0,0,0,0,0,0,0,0,0
598082040,1,1,0,1,0,0,0,0,0,0,0,0,0,0
598596815,1,1,0,1,0,0,0,0,0,0,0,0,0,0
599107117,1,1,0,1,0,0,0,0,0,0,0,0,0,0
599607587,1,1,0,1,0,0,0,0,0,0,0,0,0,0
600116628,1,1,0,1,0,0,0,0,0,0,0,0,0,0
600618997,1,1,0,1,0,0,0,0,0,0,0,0,0,0
601627057,1,1,0,1,0,0,0,0,0,0,0,0,0,0
602129606,1,1,0,1,0,0,0,0,0,0,0,0,0,0
602637617,1,1,0,1,0,0,0,0,0,0,0,0,0,0
603142850,1,1,0,1,0,0,0,0,0,0,0,0,0,0
603650533,1,1,0,1,0,0,0,0,0,0,0,0,0,0
604158327,1,1,0,1,0,0,0,0,0,0,0,0,0,0
604663339,1,1,0,1,0,0,0,0,0,0,0,0,0,0
605170916,1,1,0,1,0,0,0,0,0,0,0,0,0,0
605680461,1,1,0,1,0,0,0,0,0,0,0,0,0,0
606190016,1,1,0,1,0,0,0,0,0,0,0,0,0,0
606690461,1,1,0,1,0,0,0,0,0,0,0,0,0,0
607191842,1,1,0,1,0,0,0,0,0,0,0,0,0,0
607692023,1,1,0,1,0,0,0,0,0,0,0,0,0,0
