timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
515996593,921600.0,1.0,12262.624,0.0,140224,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517513207,921600.0,1.0,12044.52,0.0,140647,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518274068,921600.0,1.0,12044.52,0.0,140859,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519024678,921600.0,1.0,12040.254,0.0,141074,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520528585,921600.0,1.0,12132.062,0.0,141504,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521293689,921600.0,1.0,12132.062,0.0,141722,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522044939,921600.0,1.0,12148.856,0.0,141931,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523559160,921600.0,1.0,11704.163,0.0,142350,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524316906,921600.0,1.0,11704.163,0.0,142563,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525074894,921600.0,1.0,11913.721,0.0,142774,61,0.0,0,0,0,0,0,0.0,0,2,0,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
