timestamp,indicated_airspeed_m_s,calibrated_airspeed_m_s,true_airspeed_m_s,calibrated_ground_minus_wind_m_s,true_ground_minus_wind_m_s,airspeed_sensor_measurement_valid,selected_airspeed_index
465427509,19.039776,19.039776,19.818398,36.881954,39.08259,1,1
465627554,19.219725,19.219725,20.008018,36.90435,39.102745,1,1
465827515,19.458435,19.458435,20.255676,37.204056,39.41681,1,1
466027511,18.953558,18.953558,19.727633,36.775867,38.956406,1,1
466227499,18.660112,18.660112,19.418982,36.252655,38.40072,1,1
466427517,19.059021,19.059021,19.83289,35.85464,37.974384,1,1
466627523,19.340519,19.340519,20.124022,35.26326,37.34353,1,1
466827507,19.419895,19.419895,20.206434,34.320766,36.343395,1,1
467027532,19.629938,19.629938,20.424395,32.7851,34.71458,1,1
467227525,17.853518,17.853518,18.575916,31.56098,33.41707,1,1
467427584,18.143566,18.143566,18.879196,30.79691,32.609104,1,1
467627681,18.308287,18.308287,19.047146,30.237375,32.01495,1,1
467827758,18.567408,18.567408,19.32037,29.023273,30.72891,1,1
468027510,17.906298,17.906298,18.632963,28.114216,29.76631,1,1
468227509,17.205692,17.205692,17.904356,27.320654,28.92544,1,1
468427520,16.52701,16.52701,17.198893,26.641298,28.20612,1,1
468627505,16.941751,16.941751,17.627302,25.65881,27.164484,1,1
468827510,16.826834,16.826834,17.511126,24.551111,25.991846,1,1
469027509,16.020288,16.020288,16.669516,23.814142,25.211435,1,1
469227560,16.408224,16.408224,17.075813,23.052153,24.40346,1,1
469427499,15.974926,15.974926,16.621416,22.008286,23.29689,1,1
469627547,15.233609,15.233609,15.849699,21.209576,22.450142,1,1
469827500,15.479005,15.479005,16.106903,20.718084,21.928272,1,1
470027579,17.372326,17.372326,18.073162,19.864326,21.022844,1,1
470227514,16.721647,16.721647,17.394398,18.700138,19.788042,1,1
470427499,15.715675,15.715675,16.350563,16.84381,17.823156,1,1
470627543,14.457383,14.457383,15.038753,15.189683,16.072296,1,1
470827511,16.675241,16.675241,17.345427,13.852208,14.656331,1,1
471027502,15.881992,15.881992,16.520214,12.551026,13.279128,1,1
471227537,15.420596,15.420596,16.040436,11.707351,12.386439,1,1
471427505,14.5253,14.5253,15.109629,11.8460245,12.533154,1,1
471627552,14.030319,14.030319,14.59457,11.866796,12.554591,1,1
471827503,12.463475,12.463475,12.96491,11.793373,12.476707,1,1
472027653,12.353525,12.353525,12.850745,11.605369,12.277817,1,1
472227607,12.7416,12.7416,13.257124,11.85795,12.545175,1,1
472427695,13.833314,13.833314,14.39013,11.853955,12.540244,1,1
472627511,13.648116,13.648116,14.197478,12.114206,12.815157,1,1
472827503,13.069835,13.069835,13.596672,12.408855,13.127373,1,1
473027508,11.931511,11.931511,12.411886,12.7558975,13.4936695,1,1
473227501,13.0261545,13.0261545,13.550415,12.99046,13.741176,1,1
473427504,12.87913,12.87913,13.394961,12.924741,13.671062,1,1
473627502,11.589598,11.589598,12.055313,13.2098255,13.971712,1,1
473827509,12.40035,12.40035,12.896568,13.019458,13.770128,1,1
474027552,13.42974,13.42974,13.968906,12.5662155,13.289883,1,1
474227552,13.37595,13.37595,13.912607,12.245017,12.949451,1,1
474427502,13.53396,13.53396,14.073879,11.856709,12.537866,1,1
