timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
416087200,1627401624600098,386218487,-91533117,51407,99633,2.128,0.6247032,5.879,13.2560005,1.17,2.44,83,20,0.71500003,0.71300006,0.045,0.55200005,3.6032524,0,nan,0.0,3,0,1,8,0
416291692,1627401624800098,386218493,-91533100,52142,100367,1.5710001,0.6247722,5.881,13.255001,1.17,2.44,83,20,0.42600003,0.335,0.263,-0.0050000004,3.6032524,0,nan,0.0,3,0,1,8,0
416490420,1627401625000098,386218494,-91533079,52614,100839,1.639,0.6248441,5.8840003,13.268001,1.17,2.44,83,20,0.76400006,-0.294,0.70500004,-0.36900002,3.6032524,0,nan,0.0,3,0,1,8,0
416692418,1627401625200098,386218500,-91533072,52603,100829,1.6840001,0.6249179,5.8910003,13.297001,1.17,2.44,83,20,0.65500003,0.62100005,0.209,-0.057000004,3.6032524,0,nan,0.0,3,0,1,8,0
416889340,1627401625400098,386218507,-91533054,52604,100829,1.8260001,0.62499803,5.894,13.314001,1.17,2.44,83,4,1.0270001,-0.041,1.026,-0.521,3.6032524,0,nan,0.0,3,0,1,8,0
417088420,1627401625600098,386218517,-91533035,52927,101153,1.983,0.6250851,5.905,13.363001,1.17,2.44,83,4,0.70500004,0.605,0.36200002,-0.586,3.6032524,0,nan,0.0,3,0,1,8,0
417288590,1627401625800098,386218524,-91533022,52944,101169,1.817,0.62516487,5.9170003,13.389001,1.17,2.44,83,4,0.66800004,0.015000001,0.66800004,-0.367,3.6032524,0,nan,0.0,3,0,1,8,0
417490451,1627401626000098,386218528,-91533045,52473,100699,1.659,0.62523764,5.926,13.413001,1.17,2.44,83,4,1.1680001,0.344,-1.116,-0.45400003,3.6032524,0,nan,0.0,3,0,1,8,0
417689534,1627401626200098,386218546,-91533088,52213,100439,1.5830001,0.7236236,5.9350004,13.426001,1.17,2.44,83,4,2.1950002,1.144,-1.8740001,-0.23500001,4.311669,0,nan,0.0,3,0,1,8,0
417889700,1627401626400098,386218562,-91533099,52213,100439,1.682,0.72368735,5.9410005,13.452001,1.17,2.44,83,4,0.48700002,0.44200003,0.20500001,-0.33800003,4.311669,0,nan,0.0,3,0,1,8,0
418089256,1627401626600098,386218571,-91533083,52922,101148,1.639,0.72374946,5.9540005,13.496,1.17,2.44,83,4,0.068,-0.054,0.041,-0.09900001,4.311669,0,nan,0.0,3,0,1,8,0
418289606,1627401626800098,386218558,-91533059,53284,101510,1.7070001,0.7238142,5.9670005,13.521001,1.17,2.44,83,4,1.6680001,-1.404,0.90200007,0.13000001,4.311669,0,nan,0.0,3,0,1,8,0
418489446,1627401627000098,386218563,-91533058,53502,101728,1.9820001,0.7238893,5.9820004,13.562,1.17,2.44,83,4,1.036,0.89500004,-0.522,-0.716,4.311669,0,nan,0.0,3,0,1,8,0
418689737,1627401627200098,386218588,-91533070,53263,101488,1.7820001,0.723976,5.998,13.603001,1.17,2.44,83,4,1.8360001,1.8310001,0.136,-1.366,4.311669,0,nan,0.0,3,0,1,8,0
418890178,1627401627400098,386218611,-91533053,53454,101680,1.8510001,0.724046,6.024,13.661,1.17,2.44,83,7,1.3820001,0.994,0.961,-0.85600007,4.311669,0,nan,0.0,3,0,1,8,0
419090935,1627401627600098,386218603,-91533046,53946,102171,1.213,0.7241282,6.044,13.708,1.17,2.44,83,7,1.5130001,-1.4560001,-0.41200003,-1.5530001,4.311669,0,nan,0.0,3,0,1,8,0
419290317,1627401627800098,386218591,-91533060,53456,101682,1.8260001,0.7241973,6.0530005,13.735001,1.17,2.44,83,7,0.193,0.13900001,0.135,-0.22600001,4.311669,0,nan,0.0,3,0,1,8,0
419490417,1627401628000098,386218606,-91533065,53990,102215,1.618,0.7242586,6.0610003,13.768001,1.17,2.44,83,7,1.302,0.731,-1.077,-0.51100004,4.311669,0,nan,0.0,3,0,1,8,0
419684510,1627401628200098,386218617,-91533059,54275,102500,1.6680001,0.7243217,6.0750003,13.832001,1.17,2.44,83,7,0.69000006,0.27,0.63500005,-0.702,4.311669,0,nan,0.0,3,0,1,8,0
419890523,1627401628400098,386218625,-91533038,54788,103014,1.5830001,0.7243816,6.0880003,13.882001,1.17,2.44,83,4,0.36800003,0.132,0.344,-0.017,4.311669,0,nan,0.0,3,0,1,8,0
420090201,1627401628600099,386218630,-91533040,54661,102887,1.4770001,0.7244375,6.0860004,13.897,1.17,2.44,83,4,0.49400002,0.47400004,-0.13700001,-0.384,4.311669,0,nan,0.0,3,0,1,8,0
420291012,1627401628800099,386218631,-91533052,54083,102309,1.5070001,0.7244945,6.084,13.906001,1.17,2.44,83,4,0.193,0.17500001,0.083000004,-0.65300006,4.311669,0,nan,0.0,3,0,1,8,0
420487612,1627401629000099,386218624,-91533056,54059,102285,1.807,0.72456294,6.0800004,13.907001,1.17,2.44,83,4,0.62,-0.597,-0.165,-1.25,4.311669,0,nan,0.0,3,0,1,8,0
420686463,1627401629200099,386218623,-91533076,53162,101388,1.4870001,0.72461915,6.0790005,13.931001,1.17,2.44,83,4,0.878,0.878,0.015000001,-0.17400001,4.311669,0,nan,0.0,3,0,1,8,0
