timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
89848140,89848117,2228234,0.024434611,0.030543266,0.026878074,37.0,0
89948268,89948229,2228234,0.023212882,0.020769421,0.024434611,37.0,0
90147209,90147186,2228234,0.024434611,0.02199115,0.028099803,37.0,0
90248540,90248517,2228234,0.014660767,0.020769421,0.020769421,37.0,0
90448012,90447993,2228234,0.02199115,0.030543266,0.020769421,37.0,0
90548840,90548817,2228234,0.020769421,0.028099803,0.020769421,37.0,0
91347737,91347720,2228234,0.04276057,0.031764995,0.02199115,38.0,0
91848005,91847988,2228234,0.023212882,0.034208458,0.031764995,38.0,0
92148228,92148201,2228234,0.026878074,0.031764995,0.024434611,38.0,0
92243215,92243199,2228234,0.023212882,0.03909538,0.023212882,38.0,0
92547250,92547233,2228234,0.020769421,0.04276057,0.026878074,37.0,0
92847549,92847532,2228234,0.023212882,0.026878074,0.031764995,37.0,0
93246238,93246213,2228234,0.012217306,0.030543266,0.020769421,37.0,0
93348826,93348807,2228234,0.02199115,0.029321535,0.029321535,37.0,0
93448924,93448901,2228234,0.020769421,0.031764995,0.026878074,37.0,0
93548968,93548945,2228234,0.023212882,0.041538842,0.028099803,37.0,0
93748988,93748967,2228234,0.018325958,0.024434611,0.026878074,37.0,0
93849034,93849017,2228234,0.01954769,0.032986727,0.026878074,37.0,0
93947936,93947920,2228234,0.0036651918,0.029321535,0.028099803,37.0,0
94049187,94049165,2228234,0.015882498,0.026878074,0.032986727,37.0,0
94149194,94149177,2228234,0.017104229,0.03909538,0.025656343,37.0,0
94249677,94249658,2228234,0.026878074,0.045204032,0.020769421,37.0,0
94449476,94449459,2228234,0.009773845,0.031764995,0.028099803,37.0,0
94549421,94549404,2228234,0.01954769,0.023212882,0.02199115,37.0,0
95049711,95049687,2228234,0.014660767,0.03543019,0.020769421,37.0,0
95149708,95149692,2228234,0.020769421,0.032986727,0.026878074,37.0,0
95249766,95249750,2228234,0.006108653,0.03909538,0.02199115,37.0,0
95347337,95347321,2228234,0.026878074,0.031764995,0.018325958,37.0,0
95449896,95449880,2228234,0.01954769,0.031764995,0.025656343,37.0,0
95750045,95750029,2228234,0.015882498,0.032986727,0.01954769,37.0,0
95850059,95850042,2228234,0.024434611,0.03543019,0.028099803,37.0,0
95950122,95950106,2228234,0.024434611,0.02199115,0.026878074,37.0,0
96045249,96045225,2228234,0.030543266,0.029321535,0.023212882,37.0,0
96147738,96147722,2228234,0.015882498,0.024434611,0.020769421,37.0,0
96247803,96247787,2228234,0.025656343,0.0439823,0.01954769,37.0,0
96948167,96948151,2228234,0.023212882,0.029321535,0.028099803,38.0,0
97148238,97148212,2228234,0.018325958,0.018325958,0.020769421,38.0,0
97248325,97248308,2228234,0.017104229,0.031764995,0.023212882,38.0,0
97348348,97348332,2228234,0.024434611,0.032986727,0.024434611,38.0,0
97548474,97548458,2228234,0.017104229,0.032986727,0.025656343,38.0,0
97746075,97746058,2228234,0.012217306,0.029321535,0.031764995,38.0,0
97846833,97846814,2228234,0.020769421,0.026878074,0.03543019,38.0,0
97948684,97948668,2228234,0.013439037,0.032986727,0.030543266,38.0,0
98147153,98147130,2228234,0.017104229,0.025656343,0.026878074,38.0,0
98248813,98248796,2228234,0.014660767,0.041538842,0.028099803,38.0,0
98646930,98646907,2228234,0.020769421,0.028099803,0.034208458,38.0,0
98745583,98745567,2228234,0.034208458,0.03543019,0.031764995,37.0,0
98847863,98847847,2228234,0.020769421,0.034208458,0.025656343,37.0,0
100248514,100248498,2228234,0.015882498,0.031764995,0.031764995,38.0,0
100648196,100648179,2228234,0.031764995,0.037873648,0.023212882,38.0,0
100748301,100748285,2228234,0.02199115,0.030543266,0.029321535,38.0,0
100846277,100846260,2228234,0.013439037,0.030543266,0.028099803,38.0,0
101047793,101047766,2228234,0.02199115,0.025656343,0.018325958,38.0,0
101146590,101146574,2228234,0.020769421,0.0439823,0.025656343,38.0,0
101446882,101446859,2228234,0.031764995,0.03543019,0.026878074,38.0,0
101545568,101545552,2228234,0.018325958,0.037873648,0.024434611,38.0,0
101946644,101946626,2228234,0.018325958,0.046425764,0.020769421,38.0,0
102048320,102048304,2228234,0.018325958,0.030543266,0.028099803,38.0,0
102148361,102148345,2228234,0.020769421,0.029321535,0.028099803,38.0,0
102348448,102348425,2228234,0.025656343,0.01954769,0.026878074,38.0,0
102748667,102748651,2228234,0.024434611,0.031764995,0.03543019,38.0,0
103047045,103047029,2228234,0.031764995,0.030543266,0.028099803,38.0,0
103147877,103147861,2228234,0.015882498,0.029321535,0.02199115,38.0,0
103946798,103946782,2228234,0.015882498,0.025656343,0.026878074,38.0,0
104048022,104048005,2228234,0.02199115,0.03543019,0.03543019,38.0,0
104248221,104248204,2228234,0.023212882,0.03543019,0.03543019,38.0,0
104347023,104347006,2228234,0.0036651918,0.029321535,0.036651917,38.0,0
104548523,104548507,2228234,0.010995575,0.025656343,0.029321535,38.0,0
104647171,104647149,2228234,0.029321535,0.034208458,0.030543266,38.0,0
105347518,105347501,2228234,0.009773845,0.029321535,0.030543266,38.0,0
105448725,105448702,2228234,0.020769421,0.034208458,0.03543019,38.0,0
105548102,105548086,2228234,0.023212882,0.03909538,0.02199115,38.0,0
105647702,105647686,2228234,0.02199115,0.023212882,0.034208458,38.0,0
106046451,106046429,2228234,0.020769421,0.048869222,0.031764995,38.0,0
106245936,106245917,2228234,0.02199115,0.030543266,0.036651917,38.0,0
106346749,106346732,2228234,0.015882498,0.03543019,0.03543019,38.0,0
106448095,106448079,2228234,0.010995575,0.03543019,0.025656343,38.0,0
106848357,106848341,2228234,0.024434611,0.03909538,0.030543266,38.0,0
107047464,107047439,2228234,0.020769421,0.029321535,0.032986727,38.0,0
107146838,107146821,2228234,0.020769421,0.04031711,0.028099803,38.0,0
