timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
49612211,0.35410574,0.03150983,-0.067031935
49664819,0.3545916,0.030474275,-0.06887014
49675299,0.35401997,0.031544298,-0.06797282
49697133,0.35418293,0.03167733,-0.06832074
49707195,0.35459444,0.031463552,-0.06814255
49759870,0.3544314,0.031845957,-0.06781614
49770913,0.35467914,0.030310322,-0.0674967
49792232,0.35435534,0.031100057,-0.0662469
49802403,0.35476348,0.031513393,-0.0669492
49812874,0.35459876,0.031436194,-0.06703077
49897894,0.35468045,0.032316245,-0.06715327
49908400,0.35483488,0.030217763,-0.06971472
49919850,0.3541083,0.03220101,-0.066377334
49940958,0.35418987,0.03182573,-0.06653285
49952252,0.35377598,0.032235492,-0.067317255
49962322,0.35476384,0.031443316,-0.06686085
50014934,0.3549263,0.032235492,-0.06732172
50024941,0.35418493,0.031551417,-0.06780289
50034960,0.35418952,0.03196943,-0.06662428
50057325,0.35402557,0.03175209,-0.06652914
50067353,0.3547579,0.031158337,-0.06838673
50109914,0.35402402,0.031145219,-0.06693097
50120500,0.3547579,0.031158337,-0.06838673
50130991,0.35418883,0.03218321,-0.066804074
50142381,0.35319763,0.031463552,-0.068137124
50153038,0.3536924,0.032736685,-0.06767958
50205548,0.3537745,0.03133408,-0.067706786
50216045,0.354677,0.03316425,-0.068042986
50227404,0.35459623,0.03281031,-0.06768616
50237439,0.35287428,0.031520512,-0.066771306
50247527,0.35442933,0.030348359,-0.06835165
50258072,0.3545158,0.032533586,-0.06724713
50344957,0.35328463,0.032547828,-0.06690121
50355078,0.35419065,0.033088185,-0.06632924
50365160,0.35434833,0.031319838,-0.06805015
50375648,0.35336208,0.03109538,-0.068122394
50397530,0.3550102,0.031664215,-0.066871025
50407605,0.35468212,0.03226041,-0.06672377
50470145,0.3542683,0.032670166,-0.067508176
50480690,0.3531994,0.030965915,-0.06768919
50491147,0.35476232,0.032533586,-0.06724809
50522646,0.35434988,0.032147612,-0.067657545
50533151,0.35361108,0.031860195,-0.06747181
50575143,0.35427478,0.031633295,-0.065841675
50585652,0.35361046,0.031632174,-0.06763316
50596143,0.35386065,0.031597696,-0.06669292
50606651,0.35443342,0.031646416,-0.067295216
50617725,0.3544288,0.031596575,-0.06848918
50628701,0.35360965,0.03243503,-0.06783754
50661260,0.3545152,0.032084655,-0.067399256
50672696,0.3550896,0.03222481,-0.06757821
50683317,0.35385567,0.033535983,-0.06796988
50705124,0.3547653,0.03241835,-0.066474386
50715199,0.35435086,0.032084655,-0.067398615
50725299,0.35328284,0.031201057,-0.06735759
50810390,0.35451254,0.032056175,-0.06808152
50820846,0.35402256,0.031867318,-0.067302845
50831385,0.3547632,0.030994395,-0.06701297
50862840,0.35467553,0.03196831,-0.068420224
50873404,0.35442713,0.031652413,-0.06891868
50916398,0.3541014,0.031831715,-0.068156004
50927732,0.35500628,0.031400595,-0.06788521
50937866,0.35360965,0.032508668,-0.06784061
50980397,0.3547573,0.03284835,-0.068542704
50990950,0.35393813,0.031547856,-0.06788721
51045442,0.3546749,0.031593014,-0.068575434
51056059,0.35459453,0.030874478,-0.06811796
51066550,0.3543486,0.03176521,-0.067983314
51077901,0.35467887,0.03193027,-0.067564316
51088601,0.35410607,0.03180793,-0.06695895
51141099,0.35459337,0.032115575,-0.06842606
51151607,0.35426414,0.031593014,-0.06857384
51162842,0.3549225,0.031161899,-0.068302095
51245446,0.35458675,0.032044377,-0.070131734
51255563,0.35459235,0.032031257,-0.06867883
51308047,0.35418066,0.03128424,-0.06890235
51318579,0.35409766,0.03238163,-0.0691187
51329044,0.35500523,0.03168445,-0.06815337
51340475,0.35533142,0.0306251,-0.06879387
51350478,0.3541838,0.032497987,-0.06809869
51360647,0.3554154,0.03167733,-0.06832553
51413088,0.3541041,0.031565655,-0.06746143
51423541,0.35426515,0.03167733,-0.06832106
51434054,0.35377452,0.03317849,-0.06769834
51476043,0.35517368,0.03261433,-0.06708218
51486548,0.3538479,0.03057526,-0.06998211
51560580,0.354103,0.032291327,-0.06774802
51571593,0.3545128,0.03242791,-0.06801161
51583085,0.35459408,0.031680893,-0.06823705
51593158,0.35410103,0.032122694,-0.06825358
51604144,0.3537707,0.03195763,-0.06867257
51731194,0.35435045,0.030531235,-0.067504644
51741715,0.35434774,0.031018179,-0.068208426
51752207,0.35500628,0.031400595,-0.06788521
51763180,0.35483944,0.032701086,-0.06853688
51773319,0.35385692,0.032000348,-0.06764948
51783723,0.35426417,0.031519376,-0.06857076
51826757,0.35443595,0.03248487,-0.06664675
51837260,0.35426652,0.03124977,-0.06796148
51848209,0.3548453,0.031436194,-0.06703173
51879245,0.35451272,0.032943346,-0.06803313
51889760,0.3543435,0.03259541,-0.06929945
51933881,0.35278603,0.032266404,-0.06833991
51944372,0.3540195,0.03235071,-0.06809191
51955722,0.35484874,0.032727126,-0.06614587
51986395,0.35534346,0.03200859,-0.06569063
51996845,0.35517505,0.032554947,-0.06673798
52038844,0.35377952,0.03286371,-0.066403724
52049426,0.35393965,0.032449268,-0.06749768
52059861,0.35393715,0.031537175,-0.06814307
52155853,0.3543516,0.031502713,-0.06720346
52165890,0.35369584,0.032035947,-0.06679601
52197408,0.3543482,0.032129813,-0.06808396
52208408,0.3544334,0.031867318,-0.06730444
52219446,0.35434914,0.032361392,-0.067837335
52230850,0.35435033,0.031267572,-0.06753538
52250948,0.35451624,0.03180081,-0.06713112
52261489,0.35525313,0.031404156,-0.06780089
52293425,0.3528736,0.03180793,-0.066954166
52303456,0.3545132,0.032063294,-0.06791096
52313478,0.3538572,0.032519348,-0.06758572
52324449,0.3549217,0.03196475,-0.068506464
52335004,0.35492745,0.031215297,-0.06702283
52345914,0.35385793,0.029798446,-0.06738671
52356019,0.35442972,0.032122694,-0.06825485
52376949,0.3536897,0.031158337,-0.06838259
52387452,0.3550853,0.03195763,-0.06867767
52398467,0.35377145,0.031596575,-0.06848663
52408588,0.3541935,0.03186489,-0.065594725
52418938,0.35402045,0.032582294,-0.067845285
52429460,0.35443112,0.031474233,-0.067886055
52439957,0.35426852,0.03127113,-0.06744978
52619515,0.35492232,0.032266404,-0.0683482
52629991,0.3556643,0.031407718,-0.067717195
52641075,0.35557795,0.03217497,-0.0687741
52651099,0.3542633,0.032690406,-0.0687905
52661509,0.35435197,0.03128537,-0.06710897
52672013,0.35344687,0.03318917,-0.06744121
52682527,0.35393956,0.030973036,-0.06752149
52724508,0.3539364,0.032119133,-0.06833822
52735006,0.35476053,0.031260453,-0.06770754
52746193,0.35418755,0.031653535,-0.067123696
