timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
28178737,32767,32767,32767,32767,-12,32767
28183740,-24,32767,32767,32767,32767,32767
28193747,-16,32767,32767,32767,32767,32767
28198746,32767,32767,32767,32767,-1,32767
28203749,-7,32767,32767,32767,32767,32767
28208760,32767,32767,32767,32767,10,32767
28213762,2,32767,32767,32767,32767,32767
28243813,32767,32767,32767,32767,-33,32767
28248767,-23,32767,32767,32767,32767,32767
28253771,32767,32767,32767,32767,-26,32767
28258786,-14,32767,32767,32767,32767,32767
28263787,32767,32767,32767,32767,-15,32767
28268787,-6,32767,32767,32767,32767,32767
28273791,32767,32767,32767,32767,-13,32767
28283797,32767,32767,32767,32767,-12,32767
28288790,10,32767,32767,-11,32767,32767
28293782,32767,32767,32767,32767,-6,32767
28298787,32767,32767,32767,32767,32767,32767
28338824,32767,32767,32767,32767,-38,32767
28343859,1,32767,32767,32767,32767,32767
28348844,32767,32767,32767,-9,-33,32767
28353842,10,32767,32767,32767,32767,32767
28358847,32767,32767,32767,32767,-28,32767
28363824,32767,32767,32767,32767,32767,32767
28368863,-32,32767,32767,32767,-15,32767
28378834,-25,32767,32767,32767,-7,32767
28383840,32767,32767,32767,32767,32767,32767
28388839,-15,32767,32767,32767,-2,32767
28393843,32767,32767,32767,32767,32767,32767
28463869,-7,32767,32767,32767,10,32767
28468879,32767,32767,32767,32767,32767,32767
28473870,2,32767,32767,32767,10,32767
28478892,32767,32767,32767,32767,32767,32767
28483878,11,32767,32767,32767,10,32767
28488877,32767,32767,32767,32767,32767,32767
28508890,-24,32767,32767,0,-36,32767
28513888,32767,32767,32767,32767,32767,32767
28518898,-14,32767,32767,32767,-32,32767
28523894,32767,32767,32767,32767,32767,32767
28528908,-8,32767,32767,32767,-27,32767
28583938,-15,32767,32767,32767,32767,32767
28588923,32767,32767,32767,32767,10,32767
28593924,-7,32767,32767,32767,32767,32767
28598930,32767,32767,32767,32767,10,32767
28603932,1,32767,32767,32767,32767,32767
28608940,32767,32767,32767,15,10,32767
28613933,10,32767,32767,32767,32767,32767
28618937,32767,32767,32767,32767,32767,32767
28623941,32767,32767,32767,32767,-32,32767
28628951,-33,32767,32767,32767,32767,32767
28633942,32767,32767,32767,32767,-27,32767
28688980,32767,32767,32767,32767,32767,32767
28693969,-32,32767,32767,32767,10,32767
28698981,32767,32767,32767,32767,32767,32767
28703973,-24,32767,32767,32767,10,32767
28708976,32767,32767,32767,32767,32767,32767
28713978,-14,32767,32767,32767,11,32767
28719021,32767,32767,32767,32767,32767,32767
28723982,-6,32767,32767,-29,32767,32767
28728984,32767,32767,32767,32767,-32,32767
28733990,2,32767,32767,32767,32767,32767
28739001,32767,32767,32767,32767,-29,32767
28743991,11,32767,32767,32767,32767,32767
28789012,-7,32767,32767,32767,-3,32767
28794014,32767,32767,32767,32767,32767,32767
28799020,1,32767,32767,32767,9,32767
28804018,32767,32767,32767,32767,32767,32767
28809020,10,32767,32767,32767,10,32767
28814029,32767,32767,32767,32767,32767,32767
28819029,32767,32767,32767,32767,11,32767
28824027,-32,32767,32767,32767,32767,32767
28829029,32767,32767,32767,32767,32767,32767
28834040,-24,32767,32767,-14,-33,32767
28839045,32767,32767,32767,32767,32767,32767
28844036,-15,32767,32767,32767,-29,32767
28899065,-24,32767,32767,32767,32767,32767
28904063,32767,32767,32767,32767,12,32767
28909066,-14,32767,32767,32767,32767,32767
28914070,32767,32767,32767,32767,32767,32767
28919074,-6,32767,32767,32767,-33,32767
28924072,32767,32767,32767,32767,32767,32767
28929078,2,32767,32767,32767,-27,32767
28954086,-31,32767,32767,32767,32767,32767
28959091,32767,32767,32767,32767,-13,32767
28964090,-23,32767,32767,32767,32767,32767
28969099,32767,32767,32767,32767,-8,32767
29019115,-33,32767,32767,32767,32767,32767
29024117,32767,32767,32767,32767,-34,32767
29029156,-25,32767,32767,32767,32767,32767
29034122,32767,32767,32767,32767,-29,32767
29039124,-15,32767,32767,32767,32767,32767
29044128,32767,32767,32767,-3,-15,32767
29049129,-7,32767,32767,32767,32767,32767
29059133,0,32767,32767,32767,32767,32767
29064146,32767,32767,32767,32767,-3,32767
29069140,12,32767,32767,32767,32767,32767
29074140,32767,32767,32767,32767,10,32767
29124179,1,32767,32767,32767,32767,32767
29129168,32767,32767,32767,32767,-14,32767
29134200,10,32767,32767,32767,32767,32767
29139190,32767,32767,32767,32767,-8,32767
29144171,32767,32767,32767,32767,32767,32767
29149179,-32,32767,32767,32767,-3,32767
29154187,32767,32767,32767,14,32767,32767
29169192,-15,32767,32767,32767,12,32767
29174201,32767,32767,32767,32767,32767,32767
29179187,-7,32767,32767,32767,32767,32767
29184191,32767,32767,32767,32767,-38,32767
29189197,1,32767,32767,32767,32767,32767
29239215,32767,32767,32767,32767,32767,32767
29244216,-6,32767,32767,32767,10,32767
29249226,32767,32767,32767,32767,32767,32767
29254229,1,32767,32767,32767,32767,32767
29259229,32767,32767,32767,-28,-33,32767
29264233,10,32767,32767,32767,32767,32767
29269241,32767,32767,32767,32767,-28,32767
29274245,32767,32767,32767,32767,32767,32767
29279234,-32,32767,32767,32767,-14,32767
29284262,32767,32767,32767,32767,32767,32767
29289237,-23,32767,32767,32767,-8,32767
29319260,1,32767,32767,-29,10,32767
29324269,32767,32767,32767,32767,32767,32767
29329263,10,32767,32767,32767,12,32767
29334268,32767,32767,32767,32767,32767,32767
29339262,32767,32767,32767,32767,32767,32767
29384281,1,32767,32767,32767,-13,32767
29389303,32767,32767,32767,32767,32767,32767
29394285,11,32767,32767,32767,-7,32767
29399292,32767,32767,32767,32767,32767,32767
29404290,32767,32767,32767,32767,-3,32767
29409288,-31,32767,32767,32767,32767,32767
29444314,32767,32767,32767,32767,32767,32767
29449312,2,32767,32767,32767,-34,32767
29454319,32767,32767,32767,32767,32767,32767
29459316,10,32767,32767,32767,-29,32767
29464323,32767,32767,32767,32767,32767,32767
29504335,-7,32767,32767,32767,32767,32767
29509339,32767,32767,32767,32767,10,32767
29514353,1,32767,32767,32767,32767,32767
29519340,32767,32767,32767,32767,32767,32767
29524346,11,32767,32767,32767,-38,32767
29529347,32767,32767,32767,-9,32767,32767
29619390,32767,32767,32767,32767,-33,32767
29624411,-14,32767,32767,32767,32767,32767
29629434,32767,32767,32767,32767,-28,32767
29634410,-7,32767,32767,32767,32767,32767
29639418,32767,32767,32767,-4,-16,32767
29644463,1,32767,32767,32767,32767,32767
29649440,32767,32767,32767,32767,-15,32767
29654430,10,32767,32767,32767,32767,32767
29659412,32767,32767,32767,32767,-14,32767
29664417,32767,32767,32767,32767,32767,32767
29724445,32767,32767,32767,32767,-15,32767
29729446,32767,32767,32767,32767,32767,32767
29734440,-32,32767,32767,32767,-15,32767
29739439,32767,32767,32767,12,32767,32767
29744445,-24,32767,32767,32767,-13,32767
29749461,32767,32767,32767,32767,32767,32767
29754449,-15,32767,32767,32767,-8,32767
29759464,32767,32767,32767,32767,32767,32767
29764454,-7,32767,32767,32767,-3,32767
29769457,32767,32767,32767,32767,32767,32767
29774461,1,32767,32767,32767,10,32767
29814494,32767,32767,32767,32767,32767,32767
29819475,-15,32767,32767,32767,-27,32767
29824488,32767,32767,32767,32767,32767,32767
29829492,-7,32767,32767,32767,-15,32767
29834487,32767,32767,32767,32767,32767,32767
29839484,1,32767,32767,32767,-15,32767
29844490,32767,32767,32767,32767,32767,32767
29859493,32767,32767,32767,32767,-8,32767
29864496,-32,32767,32767,32767,32767,32767
29869502,32767,32767,32767,32767,-4,32767
29874503,-25,32767,32767,32767,32767,32767
29879503,32767,32767,32767,32767,9,32767
29924529,32767,32767,32767,32767,-29,32767
29929525,-32,32767,32767,32767,32767,32767
29934530,32767,32767,32767,32767,-15,32767
29939545,-25,32767,32767,32767,32767,32767
29944535,32767,32767,32767,32767,-15,32767
29949534,-14,32767,32767,32767,32767,32767
29999557,32767,32767,32767,32767,-33,32767
30004578,-24,32767,32767,32767,32767,32767
30009571,32767,32767,32767,32767,-29,32767
30014573,-15,32767,32767,-23,32767,32767
30019566,32767,32767,32767,32767,-15,32767
30054583,32767,32767,32767,32767,32767,32767
30059584,-30,32767,32767,32767,-4,32767
30064605,32767,32767,32767,-13,32767,32767
30069598,-22,32767,32767,32767,11,32767
30074591,32767,32767,32767,32767,32767,32767
30079593,-14,32767,32767,32767,32767,32767
30099605,1,32767,32767,32767,32767,32767
30104608,32767,32767,32767,32767,-15,32767
30109609,10,32767,32767,32767,32767,32767
30114611,32767,32767,32767,32767,-15,32767
30119611,32767,32767,32767,32767,32767,32767
30174643,7,32767,32767,-7,11,32767
30179638,32767,32767,32767,32767,32767,32767
30184648,32767,32767,32767,32767,32767,32767
30189643,-34,32767,32767,32767,-33,32767
30194647,32767,32767,32767,32767,32767,32767
30199647,-27,32767,32767,32767,-29,32767
30204653,32767,32767,32767,32767,32767,32767
30214663,32767,32767,32767,32767,32767,32767
30219656,-8,32767,32767,32767,-8,32767
30224662,32767,32767,32767,-3,32767,32767
30229669,1,32767,32767,32767,-3,32767
