timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2]
52846212,52846185,1114122,2.2468605,3.4097722,-6.2739806,39.25,0,0,0,0
53143913,53143886,1114122,2.3617158,3.6107693,-6.123233,39.375,0,0,0,0
53248944,53248921,1114122,2.7278178,3.4671998,-6.704689,39.375,0,0,0,0
53849144,53849128,1114122,2.4765713,3.56052,-6.360122,39.25,0,0,0,0
53946769,53946746,1114122,2.426322,3.3810582,-6.3744793,39.375,0,0,0,0
54049189,54049173,1114122,2.656033,3.481557,-6.410372,39.375,0,0,0,0
54149377,54149351,1114122,2.3688943,3.6969109,-6.360122,39.25,0,0,0,0
54246792,54246775,1114122,2.3976083,3.7686956,-6.431907,39.25,0,0,0,0
54349895,54349876,1114122,2.7134607,3.574877,-6.661618,39.25,0,0,0,0
54449511,54449495,1114122,2.1966112,3.5820553,-6.525227,39.25,0,0,0,0
54747867,54747851,1114122,2.1750758,3.6035907,-6.41755,39.375,0,0,0,0
54949669,54949651,1114122,2.6416762,3.4959137,-6.460621,39.25,0,0,0,0
55550029,55550013,1114122,2.1535404,3.5676985,-6.2739806,39.375,0,0,0,0
55647459,55647442,1114122,2.1607187,3.7040894,-6.2668023,39.5,0,0,0,0
55945212,55945189,1114122,2.3976083,3.6251261,-6.568298,39.5,0,0,0,0
56145283,56145260,1114122,2.440679,3.546163,-6.6041903,39.375,0,0,0,0
56747026,56747010,1114122,2.6057837,3.6323047,-6.474978,39.25,0,0,0,0
57045615,57045598,1114122,2.4191437,3.6466615,-6.3816576,39.375,0,0,0,0
57943607,57943590,1114122,2.182254,3.818945,-6.360122,39.25,0,0,0,0
58048664,58048648,1114122,2.5052853,3.6035907,-6.4534426,39.375,0,0,0,0
58147724,58147701,1114122,2.562713,3.682554,-6.1304116,39.5,0,0,0,0
58246214,58246197,1114122,2.5555346,3.5389845,-6.3457656,39.5,0,0,0,0
58348802,58348785,1114122,2.4335005,3.5964124,-6.087341,39.5,0,0,0,0
58947827,58947811,1114122,2.4837499,3.8045878,-6.3888364,39.375,0,0,0,0
59149156,59149140,1114122,2.318645,3.4671998,-6.367301,39.5,0,0,0,0
59346880,59346852,1114122,2.4909282,3.7686956,-6.5754766,39.625,0,0,0,0
59444333,59444316,1114122,2.3545375,3.6035907,-6.302695,39.625,0,0,0,0
59648174,59648158,1114122,2.548356,3.56052,-6.151947,39.375,0,0,0,0
59744773,59744756,1114122,2.426322,3.574877,-6.23091,39.5,0,0,0,0
60147971,60147954,1114122,2.4478574,3.5246277,-6.1591253,39.5,0,0,0,0
60247280,60247257,1114122,2.6775684,3.4456644,-6.3888364,39.625,0,0,0,0
60344753,60344737,1114122,2.3904297,3.7040894,-6.338587,39.625,0,0,0,0
60448280,60448260,1114122,2.440679,3.4743783,-6.4893346,39.625,0,0,0,0
60547454,60547430,1114122,2.3976083,3.6466615,-6.360122,39.5,0,0,0,0
60644888,60644871,1114122,2.347359,3.5820553,-6.23091,39.5,0,0,0,0
60945070,60945053,1114122,2.426322,3.6035907,-6.2883377,39.625,0,0,0,0
61648008,61647984,1114122,2.3042881,3.5030923,-6.367301,39.5,0,0,0,0
61748017,61747993,1114122,2.426322,3.7040894,-6.295516,39.5,0,0,0,0
61846878,61846854,1114122,2.6057837,3.668197,-6.5898333,39.625,0,0,0,0
62248260,62248237,1114122,2.3904297,3.6969109,-6.467799,39.5,0,0,0,0
62448354,62448330,1114122,2.1750758,3.7974093,-6.640083,39.625,0,0,0,0
62547221,62547204,1114122,2.4478574,3.6035907,-6.187839,39.625,0,0,0,0
62748420,62748403,1114122,2.3258235,3.5892339,-6.1591253,39.625,0,0,0,0
62848571,62848554,1114122,2.4119651,3.8404803,-6.474978,39.75,0,0,0,0
62945989,62945973,1114122,2.426322,3.3667014,-6.360122,39.5,0,0,0,0
63148675,63148653,1114122,2.548356,3.4887352,-6.51087,39.625,0,0,0,0
63446295,63446269,1114122,2.4191437,3.7686956,-6.5754766,39.625,0,0,0,0
63543863,63543846,1114122,2.3401804,3.5964124,-6.029913,39.75,0,0,0,0
63847125,63847105,1114122,2.519642,3.6897323,-6.3457656,39.75,0,0,0,0
64046630,64046613,1114122,2.3904297,3.4097722,-6.446264,39.5,0,0,0,0
64449262,64449245,1114122,2.2827528,3.6035907,-6.338587,39.625,0,0,0,0
65147128,65147108,1114122,2.6919253,3.7112677,-6.5036917,39.75,0,0,0,0
