timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
69323196,0,0.0,0.0,0.0,0.0,-12.53085,3.2243716e-07,3.31982e-07,0.0,0.046509635,0.01931748,-0.18539391,-0.19701192,6.448743e-05,6.63964e-05,0.0,0.08314482,0.051542517,-0.016558217,-0.11876672,0.0002478313,0.0,0.116155624,0.301293,0.5360739,0.17361826,0.1470705,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
69423262,0,0.0,0.0,0.0,0.0,-12.55497,3.2243716e-07,3.31982e-07,0.0,0.04718107,0.01923032,-0.1871373,-0.20266852,6.448743e-05,6.63964e-05,0.0,0.028673168,0.035429113,-0.0002537076,-0.1187604,0.0002478313,0.0,0.11910343,0.31553155,0.5350344,0.1788542,0.1468931,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
69523295,0,0.0,0.0,0.0,0.0,-12.578431,3.2243716e-07,3.31982e-07,0.0,0.04626486,0.019199157,-0.18864694,-0.20688486,6.448743e-05,6.63964e-05,0.0,0.025838379,-0.016778171,0.011163826,-0.11879077,0.0002478313,0.0,0.118481636,0.30129194,0.53399146,0.17361584,0.14671436,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
69623345,0,0.0,0.0,0.0,0.0,-12.601822,3.2243716e-07,3.31982e-07,0.0,0.046004225,0.019240078,-0.19032492,-0.21072756,6.448743e-05,6.63964e-05,0.0,0.015538135,0.011112749,0.015529155,-0.11879807,0.0002478313,0.0,0.123812675,0.31553048,0.5392884,0.17885652,0.14762188,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
69823444,0,0.0,0.0,0.0,0.0,-12.64438,3.2243716e-07,3.31982e-07,0.0,0.04635237,0.018780414,-0.19247118,-0.21213073,6.448743e-05,6.63964e-05,0.0,0.025979841,0.034563217,-0.00048835704,-0.11877826,0.0002478313,0.0,0.13505745,0.3155302,0.5372451,0.1788608,0.14727937,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
70323700,0,0.0,0.0,0.0,0.0,-12.750881,3.2243716e-07,3.31982e-07,0.0,0.0440415,0.017471176,-0.19567074,-0.21417142,6.448743e-05,6.63964e-05,0.0,0.023702834,0.013830231,0.030800108,-0.11878376,0.0002478313,0.0,0.12900543,0.3012929,0.53854626,0.17363271,0.14752015,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
70723891,0,0.0,0.0,0.0,0.0,-12.843237,3.2243716e-07,3.31982e-07,0.0,0.04402223,0.015729766,-0.19957757,-0.22163303,6.448743e-05,6.63964e-05,0.0,0.016160844,0.040794346,-0.025384208,-0.11878594,0.0002478313,0.0,0.13162708,0.30129468,0.5346146,0.17363529,0.14686844,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
70823937,0,0.0,0.0,0.0,0.0,-12.864592,3.2243716e-07,3.31982e-07,0.0,0.04405472,0.01535522,-0.20063186,-0.22153354,6.448743e-05,6.63964e-05,0.0,-0.0069227107,-0.00042073426,0.029502619,-0.11876694,0.0002478313,0.0,0.1356535,0.3155346,0.53365,0.17887133,0.14670874,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
70923996,0,0.0,0.0,0.0,0.0,-12.884096,3.2243716e-07,3.31982e-07,0.0,0.04340972,0.015837498,-0.20163098,-0.2196087,6.448743e-05,6.63964e-05,0.0,0.018597929,-0.020985065,-0.023682259,-0.11873478,0.0002478313,0.0,0.13931656,0.30129543,0.53895754,0.17363168,0.14761813,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
71124086,0,0.0,0.0,0.0,0.0,-12.926116,3.2243716e-07,3.31982e-07,0.0,0.04342034,0.01546541,-0.20099197,-0.2169534,6.448743e-05,6.63964e-05,0.0,0.048021458,-0.023784598,-0.0035671832,-0.118656844,0.0002478313,0.0,0.132864,0.30129632,0.5369039,0.17363745,0.14726739,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
